HIAN_Done,name,category,subcategory,description,profession,specialization,period,title,equititle,family,custom,ke,othernames,theme,birthanddeath
true,8 Tháng 3,Địa danh,,"8/3 là Ngày Quốc tế Phụ nữ, đồng thời cũng là tên của Nhà máy Dệt 8/3. Nhà máy Dệt 8/3 được khởi công vào năm 1961 và khánh thành vào ngày 8/3/1965, với sự tham gia của Chủ tịch Hồ Chí Minh. Cơ sở này nằm trong một cụm sản xuất và đào tạo ngành dệt may ở phía Nam Hà Nội, bao gồm Nhà máy Dệt 8/3 (nay là khu vực các toà Vinhomes Times City của khu đô thị Times City), Nhà máy Sợi Hà Nội (nay là khu vực Vinhomes Times City Park Hill của khu đô thị Times City), Nhà máy Xuất nhập khẩu Dệt Minh Khai (nay là Chung cư Imperial Sky Garden), một cơ sở của Nhà máy Dệt kim Đông Xuân, Bệnh viện Dệt may và Trường Đại học Kinh tế - Kỹ thuật Công nghiệp (được thành lập để đào tạo nhân lực cho ngành dệt may). Phố 8 Tháng 3 kéo dài từ sông Kim Ngưu tới Quỳnh Mai, trên phố có Khu tập thể 8 Tháng 3 và Trường Mầm non 8 Tháng 3, phục vụ cho công nhân nhà máy.",,,,,,,,,,,
true,19 Tháng 5,Sự kiện lịch sử,,"19/5/1890 là ngày sinh của Chủ tịch Hồ Chí Minh. Ông là một nhà cách mạng và chính khách Việt Nam. Ông là người sáng lập Đảng Cộng sản Việt Nam, từng đảm nhiệm nhiều vị trí như Chủ tịch nước, Thủ tướng và lãnh đạo Đảng trong nhiều giai đoạn khác nhau. Ông là một trong những nhân vật có ảnh hưởng lớn đến đời sống chính trị của Việt Nam Dân chủ Cộng hoà. Ông mất vào ngày 2/9/1969. Tên ông sau này được đặt cho chiến dịch quân sự giải phóng miền Nam và cho thành phố Sài Gòn - Gia Định để phản ánh dấu ấn lâu dài của ông trong lịch sử hiện đại của Việt Nam.",,,Cách mạng & kháng chiến,,,,,,,,
true,19 Tháng 12,Sự kiện lịch sử,,"19/12/1946 là ngày Chủ tịch Hồ Chí Minh phát động Lời kêu gọi toàn quốc kháng chiến. Sau khi giành được độc lập từ phía Nhật, Chính phủ Việt Nam Dân chủ Cộng hoà gặp khó khăn với những đoàn quân giải giáp quân Nhật từ phía Đồng Minh, đặc biệt là với quân đội Pháp. Quân đội Pháp muốn quay lại và tái chiếm bán đảo Đông Dương, trong khi Chính phủ Việt Nam Dân chủ Cộng hoà muốn giữ độc lập. Sau một loạt các cuộc tấn công gây hấn từ phía Pháp và các thất bại trong việc hoà hoãn, đặc biệt sau vụ Thảm sát ngã ba phố Hàng Bún - ngõ Yên Ninh và hai tối hậu thư vào ngày 18/12/1946, Chủ tịch Hồ Chí Minh đã phát động chiến tranh khẩn cấp. Vào 20:03 ngày 19/12/1946, Nhà máy điện Yên Phụ cắt điện, Pháo đài Láng cùng với Pháo đài Xuân Tảo và Xuân Canh phát hoả, bắn pháo vào Sở chỉ huy và kho hậu cần của quân Pháp để mở đầu cho Toàn quốc kháng chiến ở Thủ đô. Vào ngày 20/12/1946, Chủ tịch Hồ Chí Minh phát đi Lời kêu gọi toàn quốc kháng chiến, chính thức bắt đầu chiến tranh. Kết quả là quân đội Việt Nam rút khỏi các vùng đô thị về Chiến khu và chuẩn bị cho chiến tranh.",,,Cách mạng & kháng chiến,,,,,,,,
true,Ái Mộ,Địa danh,,"Ái Mộ là một ngôi làng cổ nằm ở tả ngạn sông Hồng. Làng trước đây thuộc tổng Gia Thuỵ, huyện Gia Lâm, phủ Thuận An, trấn Kinh Bắc, nay phố Ái Mộ thuộc phường Bồ Đề. Vào năm 1427, nghĩa quân Lam Sơn do Lê Lợi và Nguyễn Trãi chỉ huy đã đóng quân tại đây để bao vây thành Thăng Long. Sau chiến thắng, vua Lê Lợi đổi tên làng thành Lâm Hạ để ghi nhớ sự kiện. Làng có 4 xóm: xóm Giếng, xóm Chùa, xóm Chợ A và xóm Trung Quân. Trong làng có đền Ghềnh, là một ngôi đền nhỏ được dựng trên một ghềnh đá nhô ra bờ sông, thờ công chúa Ngọc Hân, sau này thờ Mẫu Thoải và Mẫu Liễu Hạnh.",,"Đánh cá, chở đò, dịch vụ ven sông",,,,,,,Lâm Hạ,,
true,An Dương,Địa danh,,"An Dương là tên của một bãi bồi phù sa ngoài đê sông Hồng. Bãi An Dương thuộc phường Yên Hoa, tổng Thượng, huyện Vĩnh Thuận cũ, nay phố An Dương thuộc phường Hồng Hà. Bãi được hình thành từ cuối thế kỷ XIX, khi người Pháp cho đổ kè ở Tứ Liên. Trước đây, khu vực An Dương, Phúc Xá, Nghĩa Dũng là nơi ở của người nghèo, có địa giới hành chính thay đổi nhiều lần giữa Hà Nội và Bắc Ninh. Trước năm 1945, cư dân tại đây phần lớn là người nhập cư làm nghề kéo xe tay hoặc xe bò. Đây cũng là nơi cư ngụ của những người hát xẩm trong các lều tạm, hình thành cụm dân cư gọi là Trại Xẩm. Năm 1954, nhiều người hát xẩm tham gia đội văn nghệ tuyên truyền nhân dân không di cư vào miền Nam. Sau năm 1954, đường Cổ Ngư (đường Thanh Niên bây giờ) được mở rộng, chủ yếu từ việc lấy cát từ bãi An Dương. Một vài năm sau đó, chính quyền cho xây dựng khu tập thể một tầng An Dương bằng khung gỗ để giải quyết vấn đề nhà ở cho Việt kiều Thái Lan về nước. Từ sau giai đoạn Đổi mới (1986), hạ tầng và đường sá tại khu vực này được đầu tư nâng cấp, giúp điều kiện sống của người dân tốt hơn.",,,,,,,,,,,
true,An Dương Vương,Nhân vật lịch sử,Phong kiến,"An Dương Vương, tên thật là Thục Phán, là người sáng lập nước Âu Lạc – nhà nước sơ khai thứ hai trong lịch sử Việt Nam sau Văn Lang. Ông được cho là người Âu Việt, sau khi đánh bại vua Hùng cuối cùng đã thống nhất hai tộc Âu Việt và Lạc Việt. Ông xây dựng thành Cổ Loa làm kinh đô, nay thuộc huyện Đông Anh, Hà Nội. Thành Cổ Loa là công trình quân sự lớn với kiến trúc xoáy ốc, được xem là thành trì cổ nhất Việt Nam. Truyền thuyết gắn ông với nỏ thần do thần Kim Quy ban cho, và bi kịch Mỵ Châu – Trọng Thủy. Dù có nhiều tranh luận về tính lịch sử, An Dương Vương vẫn được thờ tại đền Cổ Loa và ghi nhận là một biểu tượng của thời kỳ đầu dựng nước.",Vua cổ đại,,Hồng Bàng - sơ sử,Vua nước Âu Lạc,Vua,,,,,, - 
true,An Hoà,Không rõ,,,,,,,,,,,,,
true,An Sơn,Không rõ,,"An Sơn là tên một ngõ ở phố Đại La, nằm ở gần ngã tư Trung Hiền (ngã tư Minh Khai - Bạch Mai - Đại La - Trương Định). Trước đây ngõ thuộc phường Hồng Mai, sau chuyển thành Bạch Mai, huyện Thọ Xương, nay thuộc ngõ phường Tương Mai, thành phố Hà Nội. Tên ngõ xuất hiện từ khoảng những năm 1930, hiện chưa rõ nguồn gốc tên ngõ.",,,,,,,,,,,
true,An Thắng,Không rõ,,,,,,,,,,,,,
true,An Trạch,Địa danh,,"An Trạch hay Yên Trạch là tên một làng cổ của ở phía Tây Hà Nội. Làng thuộc tổng Yên Thành, huyện Vĩnh Thuận, nay phố An Trạch thuộc phường Ô Chợ Dừa. Thôn An Trạch được hình thành dựa trên việc sáp nhập ba thôn là Cận Tú Uyên, Tiên Thù và Tiểu Trinh.",,,,,,,,,,,
