full_id,osm_id,name:trivia,name,ward,name:processed,old_name:processed,old_name,old_name:vi,old_name:fr,old_name:1890,old_name:1894,old_name:1911,old_name:1925,old_name:1932,old_name:-1945,old_name:1945-1949,old_name:1949-1951,old_name:1950,old_name:1951-1956,old_name:1968,old_name:1972
w9566542,9566542,Cầu Thê Húc - Hoàn Kiếm,Cầu Thê Húc,Hoàn Kiếm,Thê Húc,,,,,,,,,,,,,,,,
w9656653,9656653,Phố Mã Mây - Hoàn Kiếm,Phố Mã Mây,Hoàn Kiếm,Mã Mây,Rue des Pavillons Noirs,,,,Rue des Pavillons Noirs,Rue des Pavillons Noirs,Rue des Pavillons Noirs,Rue des Pavillons Noirs,Rue des Pavillons Noirs,,,,Phố Mã Mây,,Phố Mã Mây,
w9656730,9656730,"Cầu Chương Dương - Bồ Đề, Hồng Hà",Cầu Chương Dương,"Bồ Đề, Hồng Hà",Chương Dương,,,,,,,,,,,,,,,,
w9963509,9963509,"Phố Hàng Cót - Ba Đình, Hoàn Kiếm",Phố Hàng Cót,"Ba Đình, Hoàn Kiếm",Hàng Cót,"Rue des Volailles Nattes en Bambou, Rue de Takou, Rue Takou",,,,Rue des Volailles Nattes en Bambou,Rue des Volailles Nattes en Bambou,Rue de Takou,Rue de Takou,Rue Takou,,,,Phố Hàng Cót,,Phố Hàng Cót,
w9964440,9964440,Phố Quốc Tử Giám - Văn Miếu - Quốc Tử Giám,Phố Quốc Tử Giám,Văn Miếu - Quốc Tử Giám,Quốc Tử Giám,,,,,,,,,,,,,Phố Quốc Tử Giám,,Phố Quốc Tử Giám,
w9964551,9964551,,,Kim Liên,,,,,,,,,,,,,,,,,
w9964663,9964663,Phố Nguyễn Thượng Hiền - Hai Bà Trưng,Phố Nguyễn Thượng Hiền,Hai Bà Trưng,Nguyễn Thượng Hiền,Rue Mongrand,,,,,,,,Rue Mongrand,,,,Phố Nguyễn Thượng Hiền,,Phố Nguyễn Thượng Hiền,
w9965723,9965723,Phố Tràng Tiền - Hoàn Kiếm,Phố Tràng Tiền,Hoàn Kiếm,Tràng Tiền,"Phố Hàng Khảm, Rue Paul Bert, Phố Pháp Quốc, Rue de France",Phố Hàng Khảm,,,Rue Paul Bert,Rue Paul Bert,Rue Paul Bert,Rue Paul Bert,Rue Paul Bert,,,Phố Pháp Quốc,Rue de France,,Phố Tràng Tiền,
w9975059,9975059,Đường Nguyễn Văn Linh - Bồ Đề,Đường Nguyễn Văn Linh,Bồ Đề,Nguyễn Văn Linh,,,,,,,,,,,,,,,,
w9978719,9978719,Đường Ngô Gia Tự - Việt Hưng,Đường Ngô Gia Tự,Việt Hưng,Ngô Gia Tự,,,,,,,,,,,,,,,,
w10230410,10230410,Phố Hàng Mắm - Hoàn Kiếm,Phố Hàng Mắm,Hoàn Kiếm,Hàng Mắm,Rue de la Saumure,,,,Rue de la Saumure,Rue de la Saumure,Rue de la Saumure,Rue de la Saumure,Rue de la Saumure,,,,Phố Hàng Mắm,,Phố Hàng Mắm,
w10230445,10230445,Phố Lãn Ông - Hoàn Kiếm,Phố Lãn Ông,Hoàn Kiếm,Lê Hữu Trác,"Rue des Fou-Kien, Rue de Phúc Kiến",,,,Rue des Fou-Kien,Rue des Fou-Kien,Rue de Phúc Kiến,Rue de Phúc Kiến,Rue de Phúc Kiến,,,,Phố Lãn Ông,,Phố Lãn Ông,
