name:trivia,processedname,ward,trivia,localhero
Phố Bà Huyện Thanh Quan - Ba Đình,Bà Huyện Thanh Quan,Ba Đình,,
Đường Bắc Sơn - Ba Đình,Bắc Sơn,Ba Đình,,
Phố Bắc Sơn - Ba Đình,Bắc Sơn,Ba Đình,,
Ngõ 8+10 Phố Cao Bá Quát - Ba Đình,Cao Bá Quát,Ba Đình,,
Phố Cao Bá Quát - Ba Đình,Cao Bá Quát,Ba Đình,Phố Cao Bá Quát được hình thành dựa trên một phần hào nước xung quanh thành Hà Nội.,
Ngõ Châu Long - Ba Đình,Châu Long,Ba Đình,,
Ngõ Chùa Châu Long - Ba Đình,Châu Long,Ba Đình,,
Phố Châu Long - Ba Đình,Châu Long,Ba Đình,,
Phố Chu Văn An - Ba Đình,Chu Văn An,Ba Đình,,
Phố Chùa Một Cột - Ba Đình,Chùa Một Cột,Ba Đình,,
Ngõ 29 Phố Cửa Bắc - Ba Đình,Cửa Bắc,Ba Đình,,
Phố Cửa Bắc - Ba Đình,Cửa Bắc,Ba Đình,,
Phố Đặng Dung - Ba Đình,Đặng Dung,Ba Đình,Phố Đặng Dung được hình thành dựa trên trục chính của Dương mã thành phía Bắc của thành Hà Nội. Hiện nay trên ảnh vệ tinh vẫn còn thấy được dấu vết của Dương mã thành thông qua các nhà ở dân cư hiện trạng và Nhà thờ Cửa Bắc.,
Phố Đặng Tất - Ba Đình,Đặng Tất,Ba Đình,,
Đường Điện Biên Phủ - Ba Đình,Điện Biên Phủ,Ba Đình,,
Ngõ 28B Đường Điện Biên Phủ - Ba Đình,Điện Biên Phủ,Ba Đình,,
Đường Độc Lập - Ba Đình,Độc Lập,Ba Đình,,
Ngõ 100 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 104 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 113 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 118 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 119 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 120 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 127 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 129 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 32 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 62 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 75 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 79 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 90 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 93 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 95 Phố Đội Cấn - Ba Đình,Đội Cấn,Ba Đình,,
Ngõ 26 Phố Giang Văn Minh - Ba Đình,Giang Văn Minh,Ba Đình,,
Ngõ 36 Phố Giang Văn Minh - Ba Đình,Giang Văn Minh,Ba Đình,,
Ngõ 42 Phố Giang Văn Minh - Ba Đình,Giang Văn Minh,Ba Đình,,
Ngõ Hàng Bún - Ba Đình,Hàng Bún,Ba Đình,,
Phố Hàng Bún - Ba Đình,Hàng Bún,Ba Đình,,
Phố Hàng Cót - Ba Đình,Hàng Cót,Ba Đình,,
Ngõ Hàng Đậu - Ba Đình,Hàng Đậu,Ba Đình,,
Ngõ 12 Phố Hàng Than - Ba Đình,Hàng Than,Ba Đình,,
Phố Hàng Than - Ba Đình,Hàng Than,Ba Đình,,
Đường Hoàng Diệu - Ba Đình,Hoàng Diệu,Ba Đình,,
Ngõ 33 Đường Hoàng Hoa Thám - Ba Đình,Hoàng Hoa Thám,Ba Đình,,
Phố Hoàng Văn Thụ - Ba Đình,Hoàng Văn Thụ,Ba Đình,,
Phố Hoè Nhai - Ba Đình,Hoè Nhai,Ba Đình,,
Ngõ 35 Phố Hồng Phúc - Ba Đình,Hồng Phúc,Ba Đình,,
Phố Hồng Phúc - Ba Đình,Hồng Phúc,Ba Đình,,
Đường Hùng Vương - Ba Đình,Hùng Vương,Ba Đình,"Đường Hùng Vương được hình thành dựa trên cạnh phía Tây của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
Phố Khúc Hạo - Ba Đình,Khúc Hạo,Ba Đình,,
Ngõ 58 Phố Kim Mã - Ba Đình,Kim Mã,Ba Đình,,
Ngõ 82 Phố Kim Mã - Ba Đình,Kim Mã,Ba Đình,,
Phố Kim Mã - Ba Đình,Kim Mã,Ba Đình,,
Phố Lạc Chính - Ba Đình,Lạc Chính,Ba Đình,,
Đường Lê Duẩn - Ba Đình,Lê Duẩn,Ba Đình,,
Ngách 77/10 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngách 77/2 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngách 77/4 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngách 77/6 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngách 77/8 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngõ 71 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngõ 77 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Ngõ 99 Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Phố Lê Hồng Phong - Ba Đình,Lê Hồng Phong,Ba Đình,,
Phố Lê Trực - Ba Đình,Lê Trực,Ba Đình,Phố Lê Trực được hình thành dựa trên một phần hào nước xung quanh thành Hà Nội.,
Phố Mạc Đĩnh Chi - Ba Đình,Mạc Đĩnh Chi,Ba Đình,,
Phố Nam Tràng - Ba Đình,Nam Tràng,Ba Đình,,
Ngách 158/13 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 158/2 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 158/21 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 158/21A Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 158/23 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 158/5 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 158/51 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngách 88/16 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 108 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 110 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 158 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 168 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 172 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 180 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 186 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 46 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 6 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 62 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 88 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Ngõ 94 Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Phố Ngọc Hà - Ba Đình,Ngọc Hà,Ba Đình,,
Phố Ngũ Xã - Ba Đình,Ngũ Xã,Ba Đình,,
Phố Nguyễn Biểu - Ba Đình,Nguyễn Biểu,Ba Đình,,
Phố Nguyễn Cảnh Chân - Ba Đình,Nguyễn Cảnh Chân,Ba Đình,,
Phố Nguyễn Khắc Hiếu - Ba Đình,Nguyễn Khắc Hiếu,Ba Đình,,
Phố Nguyễn Khắc Nhu - Ba Đình,Nguyễn Khắc Nhu,Ba Đình,,
Phố Nguyễn Phạm Tuân - Ba Đình,Nguyễn Phạm Tuân,Ba Đình,,
Ngõ 136 Phố Nguyễn Thái Học - Ba Đình,Nguyễn Thái Học,Ba Đình,,
Phố Nguyễn Thái Học - Ba Đình,Nguyễn Thái Học,Ba Đình,,
Đường Nguyễn Tri Phương - Ba Đình,Nguyễn Tri Phương,Ba Đình,,
Phố Nguyễn Trung Trực - Ba Đình,Nguyễn Trung Trực,Ba Đình,,
Phố Nguyễn Trường Tộ - Ba Đình,Nguyễn Trường Tộ,Ba Đình,,
Ngách 28/2 Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,,
Ngách 28/24 Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,,
Ngách 28/25 Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,,
Ngách 28/29 Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,,
Ngõ 28 Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,,
Ngõ 4 Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,,
Phố Ông Ích Khiêm - Ba Đình,Ông Ích Khiêm,Ba Đình,"Phố Ông Ích Khiêm được hình thành dựa trên một phần hào nước xung quanh Thành Hà Nội, thể hiện ở đoạn lõm vào ở ngã ba với phố Nguyễn Phạm Tuân.",
Phố Phạm Hồng Thái - Ba Đình,Phạm Hồng Thái,Ba Đình,,
Ngõ 25 Phố Phan Đình Phùng - Ba Đình,Phan Đình Phùng,Ba Đình,,
Ngõ 45 Phố Phan Đình Phùng - Ba Đình,Phan Đình Phùng,Ba Đình,,
Phố Phan Đình Phùng - Ba Đình,Phan Đình Phùng,Ba Đình,"Phố Phan Đình Phùng được hình thành dựa trên cạnh phía Bắc của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
Phố Phan Huy Ích - Ba Đình,Phan Huy Ích,Ba Đình,,
Ngõ 62 Phố Phó Đức Chính - Ba Đình,Phó Đức Chính,Ba Đình,,
Phố Phó Đức Chính - Ba Đình,Phó Đức Chính,Ba Đình,,
Ngõ 190 Phố Quán Thánh - Ba Đình,Quán Thánh,Ba Đình,,
Ngõ 192 Phố Quán Thánh - Ba Đình,Quán Thánh,Ba Đình,,
Phố Quán Thánh - Ba Đình,Quán Thánh,Ba Đình,,
Ngách 88/7 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 22 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 32 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 32B Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 44 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 44-46 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 46 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 76 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Ngõ 88 Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Phố Sơn Tây - Ba Đình,Sơn Tây,Ba Đình,,
Phố Thanh Bảo - Ba Đình,Thanh Bảo,Ba Đình,"Phố Thanh Bảo trước đây là một phần của thành Đại La. Phần thành này được đắp lại từ thời nhà Trịnh, sau khi đã co lại và cắt mất khu vực Thập tam trại. Thành Đại La từ thời kỳ chúa Trịnh - nhà Nguyễn bắt đầu từ phố Hoàng Hoa Thám, rẽ xuống Ngọc Hà, Thanh Bảo, Giảng Võ tới La Thành thì rẽ trái theo sông Kim Ngưu cho tới khi gặp ô Đống Mác tại ngã tư Lò Đúc - Trần Khát Chân thì rẽ trái theo hướng Bắc, dọc theo đường đê đến khi vào khu vực 36 phố phường.",
Đường Thanh Niên - Ba Đình,Thanh Niên,Ba Đình,,
Phố Tôn Thất Đàm - Ba Đình,Tôn Thất Đàm,Ba Đình,,
Ngõ 8 Phố Tôn Thất Thiệp - Ba Đình,Tôn Thất Thiệp,Ba Đình,,
Phố Tôn Thất Thiệp - Ba Đình,Tôn Thất Thiệp,Ba Đình,,
Phố Trần Phú - Ba Đình,Trần Phú,Ba Đình,"Phố Trần Phú được hình thành dựa trên cạnh phía Nam của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
Phố Trần Tế Xương - Ba Đình,Trần Tế Xương,Ba Đình,,
Phố Trấn Vũ - Ba Đình,Trấn Vũ,Ba Đình,"Phố Trấn Vũ nằm cạnh đền Quán Thánh. Đền có tên chữ là Trấn Vũ Quán, thờ Huyền Thiên Trấn Vũ, là một trong bốn vị thần được lập đền thờ ở bốn phía của Thăng Long (Thăng Long tứ trấn)",
Phố Trúc Bạch - Ba Đình,Trúc Bạch,Ba Đình,,
Ngõ Trúc Lạc - Ba Đình,Trúc Lạc,Ba Đình,,
Ngõ Yên Ninh - Ba Đình,Yên Ninh,Ba Đình,,
Phố Yên Ninh - Ba Đình,Yên Ninh,Ba Đình,,
Đường Yên Phụ - Ba Đình,Yên Phụ,Ba Đình,,
Ngõ Yên Thành - Ba Đình,Yên Thành,Ba Đình,,
"Phố Nguyễn Thái Học - Ba Đình, Giảng Võ",Nguyễn Thái Học,"Ba Đình, Giảng Võ",,
"Phố Cửa Đông - Ba Đình, Hoàn Kiếm",Cửa Đông,"Ba Đình, Hoàn Kiếm",Phố Cửa Đông được hình thành dựa trên trục chính của Dương mã thành phía Đông của thành Hà Nội. Hiện nay vẫn thấy được dấu vết Dương mã thành trong bố trí dân cư hiện trạng.,
"Đường Điện Biên Phủ - Ba Đình, Hoàn Kiếm",Điện Biên Phủ,"Ba Đình, Hoàn Kiếm",,
"Phố Hàng Cót - Ba Đình, Hoàn Kiếm",Hàng Cót,"Ba Đình, Hoàn Kiếm",,
"Phố Hàng Đậu - Ba Đình, Hoàn Kiếm",Hàng Đậu,"Ba Đình, Hoàn Kiếm",,
"Phố Hàng Giấy - Ba Đình, Hoàn Kiếm",Hàng Giấy,"Ba Đình, Hoàn Kiếm",,
"Phố Hàng Than - Ba Đình, Hoàn Kiếm",Hàng Than,"Ba Đình, Hoàn Kiếm",,
"Ngõ 4 Phố Lý Nam Đế - Ba Đình, Hoàn Kiếm",Lý Nam Đế,"Ba Đình, Hoàn Kiếm",,
"Ngõ 67B Phố Lý Nam Đế - Ba Đình, Hoàn Kiếm",Lý Nam Đế,"Ba Đình, Hoàn Kiếm",,
"Phố Lý Nam Đế - Ba Đình, Hoàn Kiếm",Lý Nam Đế,"Ba Đình, Hoàn Kiếm","Phố Lý Nam Đế được hình thành dựa trên cạnh phía Đông của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
"Phố Nguyễn Thiếp - Ba Đình, Hoàn Kiếm",Nguyễn Thiếp,"Ba Đình, Hoàn Kiếm",,
"Ngõ 9 Đường Nguyễn Tri Phương - Ba Đình, Hoàn Kiếm",Nguyễn Tri Phương,"Ba Đình, Hoàn Kiếm",,
"Phố Phan Đình Phùng - Ba Đình, Hoàn Kiếm",Phan Đình Phùng,"Ba Đình, Hoàn Kiếm","Phố Phan Đình Phùng được hình thành dựa trên cạnh phía Bắc của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
"Phố Phùng Hưng - Ba Đình, Hoàn Kiếm",Phùng Hưng,"Ba Đình, Hoàn Kiếm","Phố được hình thành dựa trên lòng sông Tô Lịch cũ. Sông Tô Lịch gốc rẽ nhánh khỏi sông Hồng tại ngã ba Chợ Gạo - Trần Nhật Duật, chảy qua Nguyễn Siêu, ngõ Gạch, chảy chéo lên phố Hàng Lược, Hàng Cót, nhập vào hệ thống hào nước bao quanh Hoàng thành Thăng Long, rồi rẽ chảy qua phía Tây, đi qua Phan Đình Phùng, đi dưới trường THCS Chu Văn An, ngõ 2 dốc La Pho, một phần ngõ 10 đường Hoàng Hoa Thám, ngõ 79 đường Thuỵ Khuê, ngõ 11 dốc Tam Đa, ngõ 6 dốc Tam Đa, phố Đồng Cổ, chảy dưới chợ Bưởi, đi tiếp qua ngõ 24 Võ Chí Công, ngõ 2 đường Hoàng Quốc Việt rồi chảy lộ thiên.",
"Ngõ 59 Phố Tôn Thất Thiệp - Ba Đình, Hoàn Kiếm",Tôn Thất Thiệp,"Ba Đình, Hoàn Kiếm",,
"Phố Tôn Thất Thiệp - Ba Đình, Hoàn Kiếm",Tôn Thất Thiệp,"Ba Đình, Hoàn Kiếm",,
"Phố Trần Phú - Ba Đình, Hoàn Kiếm",Trần Phú,"Ba Đình, Hoàn Kiếm","Phố Trần Phú được hình thành dựa trên cạnh phía Nam của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
"Đường Yên Phụ - Ba Đình, Hoàn Kiếm",Yên Phụ,"Ba Đình, Hoàn Kiếm",,
"Phố Cửa Bắc - Ba Đình, Hồng Hà",Cửa Bắc,"Ba Đình, Hồng Hà",,
"Phố Hàng Than - Ba Đình, Hồng Hà",Hàng Than,"Ba Đình, Hồng Hà",,
"Đường Yên Phụ - Ba Đình, Hồng Hà",Yên Phụ,"Ba Đình, Hồng Hà",,
"Ngách 135/31 Phố Đội Cấn - Ba Đình, Ngọc Hà",Đội Cấn,"Ba Đình, Ngọc Hà",,
"Ngách 135/73 Phố Đội Cấn - Ba Đình, Ngọc Hà",Đội Cấn,"Ba Đình, Ngọc Hà",,
"Ngõ 135 Phố Đội Cấn - Ba Đình, Ngọc Hà",Đội Cấn,"Ba Đình, Ngọc Hà",,
"Ngõ 147 Phố Đội Cấn - Ba Đình, Ngọc Hà",Đội Cấn,"Ba Đình, Ngọc Hà",,
"Phố Đội Cấn - Ba Đình, Ngọc Hà",Đội Cấn,"Ba Đình, Ngọc Hà",,
"Ngõ 26 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 36 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 42 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 52 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 60 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 61 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 73 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngõ 95 Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Phố Giang Văn Minh - Ba Đình, Ngọc Hà",Giang Văn Minh,"Ba Đình, Ngọc Hà",,
"Ngách 55/13 Đường Hoàng Hoa Thám - Ba Đình, Ngọc Hà",Hoàng Hoa Thám,"Ba Đình, Ngọc Hà",,
"Ngách 55/24 Đường Hoàng Hoa Thám - Ba Đình, Ngọc Hà",Hoàng Hoa Thám,"Ba Đình, Ngọc Hà",,
"Ngách 55/38 Đường Hoàng Hoa Thám - Ba Đình, Ngọc Hà",Hoàng Hoa Thám,"Ba Đình, Ngọc Hà",,
"Ngõ 55 Đường Hoàng Hoa Thám - Ba Đình, Ngọc Hà",Hoàng Hoa Thám,"Ba Đình, Ngọc Hà",,
"Ngõ 82 Phố Kim Mã - Ba Đình, Ngọc Hà",Kim Mã,"Ba Đình, Ngọc Hà",,
"Phố Kim Mã - Ba Đình, Ngọc Hà",Kim Mã,"Ba Đình, Ngọc Hà",,
"Ngõ 158 Phố Ngọc Hà - Ba Đình, Ngọc Hà",Ngọc Hà,"Ba Đình, Ngọc Hà",,
"Phố Giảng Võ - Ba Đình, Ô Chợ Dừa",Giảng Võ,"Ba Đình, Ô Chợ Dừa","Phố Giảng Võ hiện nay được xây dựng trên nền của tường thành Đại La cũ, vì vậy phố từng được gọi là phố Đại La. Trước đây thành Đại La chạy từ Hoàng thành Thăng Long, dọc theo Hoàng Hoa Thám tới đường Bưởi, rồi chạy dọc theo sông Tô Lịch tới Cầu Giấy, rồi chạy theo Đê La Thành, Xã Đàn, Đại Cồ Việt tới đê Nguyễn Khoái. Tới năm 1588, Mạc Mậu Hợp cho mở rộng thêm thành Đại La, từ ngã ba Hoàng Hoa Thám thành Đại La chạy theo Lạc Long Quân tới đê Âu Cơ. Năm 1749, Trịnh Doanh cho đắp lại thành Đại La (đã bị Trịnh Tùng phá huỷ). Thành Đại La lúc này chạy từ Hoàng Thành Thăng Long dọc xuống Giảng Võ rồi chạy theo đường vành đai 1 hiện nay, cắt mất Hồ Tây và một phần Thập Tam Trại (xem Bản đồ Hà Nội 1831).<br>Đầu phố Giảng Võ, cạnh bến xe Kim Mã có Phùng Vương cố lăng, tương truyền là mộ của Phùng Hưng.",
"Ngõ Hàng Cháo - Ba Đình, Ô Chợ Dừa",Hàng Cháo,"Ba Đình, Ô Chợ Dừa",,
"Phố Hàng Cháo - Ba Đình, Ô Chợ Dừa",Hàng Cháo,"Ba Đình, Ô Chợ Dừa",,
"Phố Lý Văn Phức - Ba Đình, Ô Chợ Dừa",Lý Văn Phức,"Ba Đình, Ô Chợ Dừa",,
"Ngõ 139 Phố Nguyễn Thái Học - Ba Đình, Ô Chợ Dừa",Nguyễn Thái Học,"Ba Đình, Ô Chợ Dừa",,
"Ngõ Nguyễn Thái Học - Ba Đình, Ô Chợ Dừa",Nguyễn Thái Học,"Ba Đình, Ô Chợ Dừa",Ngõ Nguyễn Thái Học trước đây là một phần dương mã thành của cạnh phía Nam thành Hà Nội.,
"Phố Nguyễn Thái Học - Ba Đình, Ô Chợ Dừa",Nguyễn Thái Học,"Ba Đình, Ô Chợ Dừa",,
"Phố Tôn Đức Thắng - Ba Đình, Ô Chợ Dừa",Tôn Đức Thắng,"Ba Đình, Ô Chợ Dừa",,
"Phố Trịnh Hoài Đức - Ba Đình, Ô Chợ Dừa",Trịnh Hoài Đức,"Ba Đình, Ô Chợ Dừa",,
"Đường Hoàng Hoa Thám - Ba Đình, Tây Hồ",Hoàng Hoa Thám,"Ba Đình, Tây Hồ",,
"Ngõ 49 Đường Hoàng Hoa Thám - Ba Đình, Tây Hồ",Hoàng Hoa Thám,"Ba Đình, Tây Hồ",,
"Ngõ 55 Đường Hoàng Hoa Thám - Ba Đình, Tây Hồ",Hoàng Hoa Thám,"Ba Đình, Tây Hồ",,
"Dốc Lapho - Ba Đình, Tây Hồ",Lapho,"Ba Đình, Tây Hồ",,
"Phố Ngọc Hà - Ba Đình, Tây Hồ",Ngọc Hà,"Ba Đình, Tây Hồ",,
"Phố Nguyễn Đình Thi - Ba Đình, Tây Hồ",Nguyễn Đình Thi,"Ba Đình, Tây Hồ",,
"Phố Phan Đình Phùng - Ba Đình, Tây Hồ",Phan Đình Phùng,"Ba Đình, Tây Hồ","Phố Phan Đình Phùng được hình thành dựa trên cạnh phía Bắc của Hoàng thành Thăng Long cũ. Các cạnh của Hoàng thành Thăng Long bao gồm phố Lý Nam Đế, phố Phan Đình Phùng, đường Hùng Vương và phố Trần Phú",
"Phố Phó Đức Chính - Ba Đình, Tây Hồ",Phó Đức Chính,"Ba Đình, Tây Hồ",,
"Đường Thanh Niên - Ba Đình, Tây Hồ",Thanh Niên,"Ba Đình, Tây Hồ",,
"Đường Thuỵ Khuê - Ba Đình, Tây Hồ",Thuỵ Khuê,"Ba Đình, Tây Hồ",,
"Phố Trúc Bạch - Ba Đình, Tây Hồ",Trúc Bạch,"Ba Đình, Tây Hồ",,
"Phố Chu Văn An - Ba Đình, Văn Miếu - Quốc Tử Giám",Chu Văn An,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
"Đường Lê Duẩn - Ba Đình, Văn Miếu - Quốc Tử Giám",Lê Duẩn,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
"Phố Nguyễn Thái Học - Ba Đình, Văn Miếu - Quốc Tử Giám",Nguyễn Thái Học,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
"Ngõ Thanh Miến - Ba Đình, Văn Miếu - Quốc Tử Giám",Thanh Miến,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
"Phố Văn Miếu - Ba Đình, Văn Miếu - Quốc Tử Giám",Văn Miếu,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
"Ngõ Yên Thế - Ba Đình, Văn Miếu - Quốc Tử Giám",Yên Thế,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
"Phố Yên Thế - Ba Đình, Văn Miếu - Quốc Tử Giám",Yên Thế,"Ba Đình, Văn Miếu - Quốc Tử Giám",,
Ngõ 10 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 58 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 68 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 77 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 79 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 85 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 86 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ 93 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ A1 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ A2 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ A3 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ A4 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ A5 Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Phố 8 Tháng 3 - Bạch Mai,8 Tháng 3,Bạch Mai,,
Ngõ Ao Dài - Bạch Mai,Ao Dài,Bạch Mai,,
Ngõ Ao Dài 1 - Bạch Mai,Ao Dài,Bạch Mai,,
Ngõ Ao Dài 2 - Bạch Mai,Ao Dài,Bạch Mai,,
Hẻm 295/24/17 Phố Bạch Mai - Bạch Mai,Bạch Mai,Bạch Mai,,
